Modèle,Test HF,Test BF,Test Mixte,Coût données,Coût total
BL1 (HF),54.3 ± 2.2,27.8 ± 0.8,41.1 ± 1.1,"23,520","470,400"
BL2 (BF),61.3 ± 6.3,71.0 ± 1.5,66.2 ± 2.7,"21,213","424,260"
BL3 (Mixte),74.0 ± 3.0,72.9 ± 1.1,73.4 ± 2.0,"44,733","894,660"
S1 Transfer,77.7 ± 0.6,68.3 ± 0.5,73.0 ± 0.3,"44,733","400,230"
S1 +Optuna,78.1 ± 0.1,67.8 ± 0.8,72.9 ± 0.4,"44,733","435,447"
S2 CoTrain,63.8 ± 5.2,61.0 ± 4.2,62.4 ± 4.7,"44,733","486,720"
S2 +Optuna,73.2 ± 2.1,69.4 ± 2.3,71.3 ± 2.2,"44,733","579,040"
S3 Curriculum,76.5 ± 0.2,73.1 ± 0.1,74.8 ± 0.1,"44,733","421,265"
S3 +Optuna,77.0 ± 0.6,73.9 ± 0.2,75.4 ± 0.4,"44,733","658,232"
S5 EWC,78.0 ± 0.3,68.8 ± 0.7,73.4 ± 0.4,"44,733","400,230"
S5 +Optuna,76.0 ± 0.6,67.3 ± 0.5,71.6 ± 0.1,"44,733","379,017"
