Modèle,Test HF,Test BF,Test Mixte,Coût données,Coût total
BL1 (HF),25.0 ± 4.1,22.1 ± 1.4,23.5 ± 2.6,"8,990","179,800"
BL2 (BF),42.7 ± 2.8,47.0 ± 1.6,44.9 ± 2.1,"8,126","162,520"
BL3 (Mixte),50.3 ± 2.5,48.8 ± 2.3,49.6 ± 2.4,"17,116","342,320"
S1 Transfer,51.0 ± 1.6,44.7 ± 1.3,47.9 ± 1.5,"17,116","153,160"
S1 +Optuna,49.8 ± 1.1,45.4 ± 1.5,47.6 ± 1.3,"17,116","162,222"
S2 CoTrain,37.5 ± 0.8,37.4 ± 0.3,37.5 ± 0.2,"17,116","183,040"
S2 +Optuna,42.2 ± 0.5,41.6 ± 0.3,41.9 ± 0.4,"17,116","259,080"
S3 Curriculum,47.5 ± 1.4,46.1 ± 1.1,46.8 ± 1.2,"17,116","158,880"
S3 +Optuna,52.8 ± 0.4,51.8 ± 0.6,52.3 ± 0.5,"17,116","256,312"
S5 EWC,53.3 ± 0.7,46.8 ± 0.6,50.0 ± 0.6,"17,116","153,160"
S5 +Optuna,53.4 ± 1.5,46.8 ± 0.4,50.1 ± 0.6,"17,116","229,740"
