Modèle,Test HF,Test BF,Test Mixte,Coût données,Coût total
BL1 (HF),75.8 ± 2.2,47.0 ± 0.8,61.4 ± 1.1,"14,020","280,400"
BL2 (BF),78.7 ± 2.7,81.9 ± 1.4,80.3 ± 1.4,"12,632","252,640"
BL3 (Mixte),82.8 ± 1.2,82.1 ± 1.2,82.5 ± 1.2,"26,652","533,040"
S1 Transfer,86.1 ± 0.4,79.1 ± 1.4,82.6 ± 0.7,"26,652","238,420"
S1 +Optuna,86.0 ± 0.4,80.0 ± 0.4,83.0 ± 0.1,"26,652","201,946"
S2 CoTrain,82.0 ± 1.0,79.8 ± 0.9,80.9 ± 0.9,"26,652","291,200"
S2 +Optuna,82.0 ± 1.2,80.2 ± 2.1,81.1 ± 1.1,"26,652","294,520"
S3 Curriculum,84.6 ± 1.0,82.6 ± 1.5,83.6 ± 1.2,"26,652","250,880"
S3 +Optuna,86.0 ± 0.8,84.4 ± 0.3,85.2 ± 0.5,"26,652","368,074"
S5 EWC,85.8 ± 0.4,80.0 ± 0.9,82.9 ± 0.6,"26,652","238,420"
S5 +Optuna,82.0 ± 0.4,75.7 ± 1.1,78.9 ± 0.7,"26,652","203,368"
